ArraySize,Series,Attempt,Time,Passes,Swaps
1000,1,1,0.002989,494,248606
1000,1,2,0.003023,534,255635
1000,1,3,0.003128,522,252426
1000,1,4,0.003838,504,247936
1000,1,5,0.003628,494,250794
1000,1,6,0.003045,514,253083
1000,1,7,0.003102,514,253257
1000,1,8,0.003053,524,261061
1000,1,9,0.003115,530,262914
1000,1,10,0.003282,512,251169
1000,1,11,0.002947,500,249831
1000,1,12,0.002923,478,240897
1000,1,13,0.003013,512,249375
1000,1,14,0.003239,500,250158
1000,1,15,0.002875,490,242079
1000,1,16,0.003015,500,244498
1000,1,17,0.003278,510,251086
1000,1,18,0.003964,496,242677
1000,1,19,0.00323,486,235529
1000,1,20,0.003095,518,254676
1000,2,1,0.003258,508,249732
1000,2,2,0.003679,514,249764
1000,2,3,0.003191,530,252261
1000,2,4,0.003059,498,254478
1000,2,5,0.003052,530,258923
1000,2,6,0.002965,504,247546
1000,2,7,0.003716,496,243468
1000,2,8,0.003798,542,255105
1000,2,9,0.003115,504,246963
1000,2,10,0.003032,500,248652
1000,2,11,0.003486,488,248003
1000,2,12,0.003346,530,256117
1000,2,13,0.003117,526,253265
1000,2,14,0.003027,504,245406
1000,2,15,0.003706,502,249968
1000,2,16,0.003333,516,247674
1000,2,17,0.003186,530,256467
1000,2,18,0.003271,506,247462
1000,2,19,0.002955,498,247250
1000,2,20,0.003286,502,247775
1000,3,1,0.003096,502,246024
1000,3,2,0.00296,524,250532
1000,3,3,0.003117,512,249706
1000,3,4,0.003569,498,251651
1000,3,5,0.002997,494,243833
1000,3,6,0.003201,532,255396
1000,3,7,0.003213,530,245882
1000,3,8,0.0032,502,250375
1000,3,9,0.003685,526,254125
1000,3,10,0.003076,504,249900
1000,3,11,0.003072,520,250935
1000,3,12,0.003143,502,249264
1000,3,13,0.003069,516,255049
1000,3,14,0.00311,520,251989
1000,3,15,0.003091,506,252198
1000,3,16,0.003114,514,258133
1000,3,17,0.003026,494,247606
1000,3,18,0.003655,518,253004
1000,3,19,0.003144,500,248761
1000,3,20,0.002983,486,241496
